	(1)	(2)
VARIABLES	Y_B	Y_B
		
x1	0.0989	0.0989
	(0.00178)	(0.00183)
x2	0.490	0.488
	(0.0112)	(0.0116)
x3	-0.244	-0.247
	(0.0152)	(0.0157)
x4	-0.201	-0.201
	(0.00175)	(0.00181)
x5	-0.157	-0.160
	(0.0107)	(0.0110)
eggs	0.402	0.577
	(0.00904)	(0.00774)
conflict	-0.307	
	(0.00839)	
Constant	3.012	2.838
	(0.0106)	(0.00980)
		
Observations	20,000	20,000
R-squared	0.565	0.536
Robust standard errors in parentheses		
